measurement,t
0,3.31153e-3
1,3.29288e-3
2,3.28769e-3
3,3.28727e-3
4,3.26389e-3
5,3.30276e-3
6,3.29160e-3
7,3.30574e-3
8,3.27961e-3
9,3.28977e-3
